"语文","数学","英语","物理","化学","生物"
"4","12","11","14","16","9"
"11","20","19","5","15","11"
"18","13","7","5","12","9"
"5","2","13","1","6","3"
"15","10","12","19","11","4"
"17","20","13","9","15","6"
"20","12","9","7","14","14"
"15","8","1","14","10","4"
"19","8","4","8","8","15"
"20","8","4","19","6","1"
"4","16","18","12","1","18"
"18","11","5","2","4","20"
"8","17","7","13","9","17"
"2","7","15","8","1","11"
"12","2","3","7","7","7"
"15","11","18","18","3","15"
"14","2","9","19","14","12"
"20","2","6","14","12","1"
"2","14","15","14","8","8"
"19","18","6","1","13","15"
